,home,away,date,gh,ga,full_time,competition,home_ident,away_ident,home_country,away_country,home_code,away_code,home_continent,away_continent,continent,level,home_team,away_team,team,scorer,minute,own_goal,penalty,home_score,away_score,tournament,city,country,neutral,winner,first_shooter,Price,Open,High,Low,Vol.,Change %,next_day
43045,Liverpool FC,As Roma,2001-02-22,0.0,1.0,F,UEFA EL,Liverpool FC (England),As Roma (Italy),england,italy,ENG,IT,Europe,Europe,Europe,international,,,,,,,,,,,,,,,,"6,003.10","5,972.40","6,011.30","5,937.10",,0.51,2001-02-23
43066,Real Madrid,Leeds United,2001-03-06,3.0,2.0,F,UEFA CL,Real Madrid (Spain),Leeds United (England),spain,england,ES,ENG,Europe,Europe,Europe,international,,,,,,,,,,,,,,,,"6,012.00","5,931.30","6,027.60","5,928.00",,1.36,2001-03-07
43072,Bayern Muenchen,Arsenal FC,2001-03-14,1.0,0.0,F,UEFA CL,Bayern Muenchen (Germany),Arsenal FC (England),germany,england,DE,ENG,Europe,Europe,Europe,international,,,,,,,,,,,,,,,,"5,625.90","5,720.70","5,742.10","5,471.10",,-1.66,2001-03-15
43095,Manchester United,Bayern Muenchen,2001-04-03,0.0,1.0,F,UEFA CL,Manchester United (England),Bayern Muenchen (Germany),england,germany,ENG,DE,Europe,Europe,Europe,international,,,,,,,,,,,,,,,,"5,463.10","5,618.50","5,618.50","5,459.60",,-2.77,2001-04-04
43127,Deportivo La Coruna,Leeds United,2001-04-17,2.0,0.0,F,UEFA CL,Deportivo La Coruna (Spain),Leeds United (England),spain,england,ES,ENG,Europe,Europe,Europe,international,,,,,,,,,,,,,,,,"5,761.10","5,766.60","5,774.50","5,654.90",,-0.1,2001-04-18
43128,Valencia CF,Arsenal FC,2001-04-17,1.0,0.0,F,UEFA CL,Valencia CF (Spain),Arsenal FC (England),spain,england,ES,ENG,Europe,Europe,Europe,international,,,,,,,,,,,,,,,,"5,761.10","5,766.60","5,774.50","5,654.90",,-0.1,2001-04-18
43129,Bayern Muenchen,Manchester United,2001-04-18,2.0,1.0,F,UEFA CL,Bayern Muenchen (Germany),Manchester United (England),germany,england,DE,ENG,Europe,Europe,Europe,international,,,,,,,,,,,,,,,,"5,890.20","5,761.10","5,902.60","5,760.70",,2.24,2001-04-19
43165,Valencia CF,Leeds United,2001-05-08,3.0,0.0,F,UEFA CL,Valencia CF (Spain),Leeds United (England),spain,england,ES,ENG,Europe,Europe,Europe,international,,,,,,,,,,,,,,,,"5,886.40","5,870.30","5,893.70","5,842.60",,0.27,2001-05-09
43185,Stade Rennes,Aston Villa,2001-07-25,2.0,1.0,F,UEFA ITC,Stade Rennes (France),Aston Villa (England),france,england,FR,ENG,Europe,Europe,Europe,international,,,,,,,,,,,,,,,,"5,275.70","5,320.20","5,350.10","5,260.50",,-0.84,2001-07-26
43235,Aston Villa,Nk Varazdin Sn,2001-09-13,2.0,3.0,F,UEFA EL,Aston Villa (England),Nk Varazdin Sn (Croatia),england,croatia,ENG,HR,Europe,Europe,Europe,international,,,,,,,,,,,,,,,,"4,943.60","4,882.10","4,946.60","4,847.50",,1.26,2001-09-14
