,home,away,date_x,gh,ga,full_time,competition,home_ident,away_ident,home_country,away_country,home_code,away_code,home_continent,away_continent,continent,level,next_day,date_y,Price,Open,High,Low,Vol.,Change %
0,Olympique Lyon,Arsenal FC,2001-02-13,0,1,F,UEFA CL,Olympique Lyon (France),Arsenal FC (England),france,england,FR,ENG,Europe,Europe,Europe,international,2001-02-14,2001-02-14,"6,176.20","6,228.50","6,228.50","6,131.60",,-0.84
1,Leeds United,RSC Anderlecht,2001-02-13,2,1,F,UEFA CL,Leeds United (England),RSC Anderlecht (Belgium),england,belgium,ENG,BE,Europe,Europe,Europe,international,2001-02-14,2001-02-14,"6,176.20","6,228.50","6,228.50","6,131.60",,-0.84
2,Valencia CF,Manchester United,2001-02-14,0,0,F,UEFA CL,Valencia CF (Spain),Manchester United (England),spain,england,ES,ENG,Europe,Europe,Europe,international,2001-02-15,2001-02-15,"6,197.90","6,176.20","6,212.70","6,155.50",,0.35
3,Manchester United,Valencia CF,2001-02-20,1,1,F,UEFA CL,Manchester United (England),Valencia CF (Spain),england,spain,ENG,ES,Europe,Europe,Europe,international,2001-02-21,2001-02-21,"5,972.40","5,980.10","5,998.90","5,921.70",,-0.13
4,Arsenal FC,Olympique Lyon,2001-02-21,1,1,F,UEFA CL,Arsenal FC (England),Olympique Lyon (France),england,france,ENG,FR,Europe,Europe,Europe,international,2001-02-22,2001-02-22,"6,003.10","5,972.40","6,011.30","5,937.10",,0.51
5,RSC Anderlecht,Leeds United,2001-02-21,1,4,F,UEFA CL,RSC Anderlecht (Belgium),Leeds United (England),belgium,england,BE,ENG,Europe,Europe,Europe,international,2001-02-22,2001-02-22,"6,003.10","5,972.40","6,011.30","5,937.10",,0.51
6,Arsenal FC,Spartak Moskva,2001-03-06,1,0,F,UEFA CL,Arsenal FC (England),Spartak Moskva (Russia),england,russia,ENG,RU,Europe,Europe,Europe,international,2001-03-07,2001-03-07,"6,001.80","6,012.00","6,035.30","5,969.60",,-0.17
7,Real Madrid,Leeds United,2001-03-06,3,2,F,UEFA CL,Real Madrid (Spain),Leeds United (England),spain,england,ES,ENG,Europe,Europe,Europe,international,2001-03-07,2001-03-07,"6,001.80","6,012.00","6,035.30","5,969.60",,-0.17
8,Panathinaikos,Manchester United,2001-03-07,1,1,F,UEFA CL,Panathinaikos (Greece),Manchester United (England),greece,england,GR,ENG,Europe,Europe,Europe,international,2001-03-08,2001-03-08,"6,003.20","6,001.80","6,050.40","5,982.00",,0.02
9,Manchester United,Sturm Graz,2001-03-13,3,0,F,UEFA CL,Manchester United (England),Sturm Graz (Austria),england,austria,ENG,AT,Europe,Europe,Europe,international,2001-03-14,2001-03-14,"5,625.90","5,720.70","5,742.10","5,471.10",,-1.66
10,Bayern Muenchen,Arsenal FC,2001-03-14,1,0,F,UEFA CL,Bayern Muenchen (Germany),Arsenal FC (England),germany,england,DE,ENG,Europe,Europe,Europe,international,2001-03-15,2001-03-15,"5,729.20","5,625.90","5,729.20","5,594.80",,1.84
11,Leeds United,Lazio Roma,2001-03-14,3,3,F,UEFA CL,Leeds United (England),Lazio Roma (Italy),england,italy,ENG,IT,Europe,Europe,Europe,international,2001-03-15,2001-03-15,"5,729.20","5,625.90","5,729.20","5,594.80",,1.84
12,Manchester United,Bayern Muenchen,2001-04-03,0,1,F,UEFA CL,Manchester United (England),Bayern Muenchen (Germany),england,germany,ENG,DE,Europe,Europe,Europe,international,2001-04-04,2001-04-04,"5,535.70","5,463.10","5,537.30","5,354.30",,1.33
13,Leeds United,Deportivo La Coruna,2001-04-04,3,0,F,UEFA CL,Leeds United (England),Deportivo La Coruna (Spain),england,spain,ENG,ES,Europe,Europe,Europe,international,2001-04-05,2001-04-05,"5,621.80","5,535.70","5,658.90","5,528.70",,1.56
