,home,away,date,gh,ga,full_time,competition,home_ident,away_ident,home_country,away_country,home_code,away_code,home_continent,away_continent,continent,level,home_team,away_team,team,scorer,minute,own_goal,penalty,home_score,away_score,tournament,city,country,neutral,winner,first_shooter,Price,Open,High,Low,Vol.,Change %,month,year
43007,Charlton Athletic,West Ham United,2001-01-22,1.0,1.0,F,england,Charlton Athletic (England),West Ham United (England),england,england,ENG,ENG,Europe,Europe,Europe,national,,,,,,,,,,,,,,,,"6,232.00","6,209.30","6,252.30","6,162.90",,0.37,1,2001
43008,Aston Villa,Leeds United,2001-01-24,1.0,2.0,F,england,Aston Villa (England),Leeds United (England),england,england,ENG,ENG,Europe,Europe,Europe,national,,,,,,,,,,,,,,,,"6,264.40","6,214.70","6,309.20","6,214.70",,0.8,1,2001
43009,Arsenal FC,Bradford City,2001-01-30,2.0,0.0,F,england,Arsenal FC (England),Bradford City (England),england,england,ENG,ENG,Europe,Europe,Europe,national,,,,,,,,,,,,,,,,"6,334.50","6,317.00","6,337.40","6,300.20",,0.28,1,2001
43010,Charlton Athletic,Derby County,2001-01-30,2.0,1.0,F,england,Charlton Athletic (England),Derby County (England),england,england,ENG,ENG,Europe,Europe,Europe,national,,,,,,,,,,,,,,,,"6,334.50","6,317.00","6,337.40","6,300.20",,0.28,1,2001
43011,Chelsea FC,Newcastle United,2001-01-31,3.0,1.0,F,england,Chelsea FC (England),Newcastle United (England),england,england,ENG,ENG,Europe,Europe,Europe,national,,,,,,,,,,,,,,,,"6,297.50","6,334.50","6,360.30","6,264.90",,-0.58,1,2001
43012,Southampton FC,Leicester City,2001-01-31,1.0,0.0,F,england,Southampton FC (England),Leicester City (England),england,england,ENG,ENG,Europe,Europe,Europe,national,,,,,,,,,,,,,,,,"6,297.50","6,334.50","6,360.30","6,264.90",,-0.58,1,2001
43013,Everton FC,Middlesbrough FC,2001-01-31,2.0,2.0,F,england,Everton FC (England),Middlesbrough FC (England),england,england,ENG,ENG,Europe,Europe,Europe,national,,,,,,,,,,,,,,,,"6,297.50","6,334.50","6,360.30","6,264.90",,-0.58,1,2001
43014,Manchester City,Liverpool FC,2001-01-31,1.0,1.0,F,england,Manchester City (England),Liverpool FC (England),england,england,ENG,ENG,Europe,Europe,Europe,national,,,,,,,,,,,,,,,,"6,297.50","6,334.50","6,360.30","6,264.90",,-0.58,1,2001
43015,Leeds United,Coventry City,2001-01-31,1.0,0.0,F,england,Leeds United (England),Coventry City (England),england,england,ENG,ENG,Europe,Europe,Europe,national,,,,,,,,,,,,,,,,"6,297.50","6,334.50","6,360.30","6,264.90",,-0.58,1,2001
43016,Sunderland Afc,Manchester United,2001-01-31,0.0,1.0,F,england,Sunderland Afc (England),Manchester United (England),england,england,ENG,ENG,Europe,Europe,Europe,national,,,,,,,,,,,,,,,,"6,297.50","6,334.50","6,360.30","6,264.90",,-0.58,1,2001
43017,West Ham United,Tottenham Hotspur,2001-01-31,0.0,0.0,F,england,West Ham United (England),Tottenham Hotspur (England),england,england,ENG,ENG,Europe,Europe,Europe,national,,,,,,,,,,,,,,,,"6,297.50","6,334.50","6,360.30","6,264.90",,-0.58,1,2001
43027,Everton FC,Leeds United,2001-02-07,2.0,2.0,F,england,Everton FC (England),Leeds United (England),england,england,ENG,ENG,Europe,Europe,Europe,national,,,,,,,,,,,,,,,,"6,225.60","6,293.40","6,293.40","6,197.30",,-1.08,2,2001
43037,West Ham United,Coventry City,2001-02-12,1.0,1.0,F,england,West Ham United (England),Coventry City (England),england,england,ENG,ENG,Europe,Europe,Europe,national,,,,,,,,,,,,,,,,"6,241.40","6,164.30","6,241.40","6,155.50",,1.25,2,2001
43038,Olympique Lyon,Arsenal FC,2001-02-13,0.0,1.0,F,UEFA CL,Olympique Lyon (France),Arsenal FC (England),france,england,FR,ENG,Europe,Europe,Europe,international,,,,,,,,,,,,,,,,"6,228.50","6,241.40","6,263.30","6,209.00",,-0.21,2,2001
43039,Leeds United,RSC Anderlecht,2001-02-13,2.0,1.0,F,UEFA CL,Leeds United (England),RSC Anderlecht (Belgium),england,belgium,ENG,BE,Europe,Europe,Europe,international,,,,,,,,,,,,,,,,"6,228.50","6,241.40","6,263.30","6,209.00",,-0.21,2,2001
43040,Valencia CF,Manchester United,2001-02-14,0.0,0.0,F,UEFA CL,Valencia CF (Spain),Manchester United (England),spain,england,ES,ENG,Europe,Europe,Europe,international,,,,,,,,,,,,,,,,"6,176.20","6,228.50","6,228.50","6,131.60",,-0.84,2,2001
43041,As Roma,Liverpool FC,2001-02-15,0.0,2.0,F,UEFA EL,As Roma (Italy),Liverpool FC (England),italy,england,IT,ENG,Europe,Europe,Europe,international,,,,,,,,,,,,,,,,"6,197.90","6,176.20","6,212.70","6,155.50",,0.35,2,2001
43042,Manchester United,Valencia CF,2001-02-20,1.0,1.0,F,UEFA CL,Manchester United (England),Valencia CF (Spain),england,spain,ENG,ES,Europe,Europe,Europe,international,,,,,,,,,,,,,,,,"5,980.10","6,094.00","6,134.00","5,974.80",,-1.87,2,2001
43043,Arsenal FC,Olympique Lyon,2001-02-21,1.0,1.0,F,UEFA CL,Arsenal FC (England),Olympique Lyon (France),england,france,ENG,FR,Europe,Europe,Europe,international,,,,,,,,,,,,,,,,"5,972.40","5,980.10","5,998.90","5,921.70",,-0.13,2,2001
43044,RSC Anderlecht,Leeds United,2001-02-21,1.0,4.0,F,UEFA CL,RSC Anderlecht (Belgium),Leeds United (England),belgium,england,BE,ENG,Europe,Europe,Europe,international,,,,,,,,,,,,,,,,"5,972.40","5,980.10","5,998.90","5,921.70",,-0.13,2,2001
43045,Liverpool FC,As Roma,2001-02-22,0.0,1.0,F,UEFA EL,Liverpool FC (England),As Roma (Italy),england,italy,ENG,IT,Europe,Europe,Europe,international,,,,,,,,,,,,,,,,"6,003.10","5,972.40","6,011.30","5,937.10",,0.51,2,2001
43064,Sunderland Afc,Aston Villa,2001-03-05,1.0,1.0,F,england,Sunderland Afc (England),Aston Villa (England),england,england,ENG,ENG,Europe,Europe,Europe,national,,,,,,,,,,,,,,,,"5,931.30","5,858.60","5,931.30","5,856.90",,1.24,3,2001
43065,Arsenal FC,Spartak Moskva,2001-03-06,1.0,0.0,F,UEFA CL,Arsenal FC (England),Spartak Moskva (Russia),england,russia,ENG,RU,Europe,Europe,Europe,international,,,,,,,,,,,,,,,,"6,012.00","5,931.30","6,027.60","5,928.00",,1.36,3,2001
