,date,home_team,away_team,team,scorer,minute,own_goal,penalty,home_score,away_score,tournament,city,country,neutral,winner,first_shooter
0,1949-10-15,Wales,England,England,Stan Mortensen,22.0,False,False,1,4,FIFA World Cup qualification,Cardiff,Wales,False,,
1,1949-10-15,Wales,England,England,Jackie Milburn,29.0,False,False,1,4,FIFA World Cup qualification,Cardiff,Wales,False,,
2,1949-10-15,Wales,England,England,Jackie Milburn,34.0,False,False,1,4,FIFA World Cup qualification,Cardiff,Wales,False,,
3,1949-10-15,Wales,England,England,Jackie Milburn,66.0,False,False,1,4,FIFA World Cup qualification,Cardiff,Wales,False,,
4,1949-10-15,Wales,England,Wales,Mal Griffiths,80.0,False,False,1,4,FIFA World Cup qualification,Cardiff,Wales,False,,
5,1949-11-16,England,Northern Ireland,England,Jack Rowley,6.0,False,False,9,2,FIFA World Cup qualification,Manchester,England,False,,
6,1949-11-16,England,Northern Ireland,England,Jack Froggatt,25.0,False,False,9,2,FIFA World Cup qualification,Manchester,England,False,,
7,1949-11-16,England,Northern Ireland,England,Stan Pearson,33.0,False,False,9,2,FIFA World Cup qualification,Manchester,England,False,,
8,1949-11-16,England,Northern Ireland,England,Stan Mortensen,35.0,False,False,9,2,FIFA World Cup qualification,Manchester,England,False,,
9,1949-11-16,England,Northern Ireland,England,Jack Rowley,47.0,False,False,9,2,FIFA World Cup qualification,Manchester,England,False,,
10,1949-11-16,England,Northern Ireland,England,Stan Mortensen,50.0,False,False,9,2,FIFA World Cup qualification,Manchester,England,False,,
11,1949-11-16,England,Northern Ireland,Northern Ireland,Samuel Smyth,55.0,False,False,9,2,FIFA World Cup qualification,Manchester,England,False,,
12,1949-11-16,England,Northern Ireland,England,Jack Rowley,56.0,False,False,9,2,FIFA World Cup qualification,Manchester,England,False,,
13,1949-11-16,England,Northern Ireland,England,Jack Rowley,58.0,False,False,9,2,FIFA World Cup qualification,Manchester,England,False,,
14,1949-11-16,England,Northern Ireland,England,Stan Pearson,68.0,False,False,9,2,FIFA World Cup qualification,Manchester,England,False,,
15,1949-11-16,England,Northern Ireland,Northern Ireland,Bobby Brennan,75.0,False,False,9,2,FIFA World Cup qualification,Manchester,England,False,,
16,1950-04-15,Scotland,England,England,Roy Bentley,64.0,False,False,0,1,FIFA World Cup qualification,Glasgow,Scotland,False,,
17,1950-06-25,Chile,England,England,Stan Mortensen,39.0,False,False,0,2,FIFA World Cup,Rio de Janeiro,Brazil,True,,
18,1950-06-25,Chile,England,England,Wilf Mannion,51.0,False,False,0,2,FIFA World Cup,Rio de Janeiro,Brazil,True,,
19,1950-06-29,England,United States,United States,Joe Gaetjens,38.0,False,False,0,1,FIFA World Cup,Belo Horizonte,Brazil,True,,
